long_cite,short_cite,doi,keywords,coder,date_first_coder_coded,second_coder,date_second_coder_coded,exp_number,infant_age,infant_type,condition_name,same_infant,n,fam_times,infant_controlled_fam,fam_presentation_type,fam_static_dynamic,live_or_video,stimuli,stimulus_complexity_reported,stimulus_complexity_description,attention_getter,attention_getter_type,attention_getter_duration,attention_getter_frequency,test_type,test_description,test_duration,response_mode,infant_controlled_test,num_trials,trial_duration,mean_novel,sd_novel,mean_familiar,sd_famliar,novelty_familiarity_units,mean_novelty_preference,SD_novelty_preference,chance_level_novelty_preference,t,F,d,dv_type,dv_calc,dv_interpret,cite_HA1988,1st_coder_comments,2nd_coder_comments
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,106.54,,single,1_3,28,30,n,single_object,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,4.1,3.2,6.8,3.7,seconds,0.397,0.253,0.5,-2.11,,-0.4071146245,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,136.98,,single,1_4,28,30,n,single_object,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,6.1,4.3,5.8,4.1,seconds,0.503,0.275,0.5,0.05,,0.01090909091,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,197.86,,single,1_6,28,30,n,single_object,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,8.2,3.9,6.1,3.3,seconds,0.58,0.169,0.5,2.5,,0.4733727811,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,106.54,,two_different,1_3,28,30,n,two_different,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,5.4,3.2,7.9,3.2,seconds,0.395,0.215,0.5,-2.58,,-0.488372093,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,136.98,,two_different,1_4,28,30,n,two_different,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,7.3,4.2,4.3,2.7,seconds,0.61,0.209,0.5,2.77,,0.5263157895,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,197.86,,two_different,1_6,28,30,n,two_different,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,7.9,3.4,6.4,2.8,seconds,0.565,0.124,0.5,2.71,,0.5241935484,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,106.54,,two_identical,1_3,28,30,n,two_identical,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,6.3,4.6,5.9,4.7,seconds,0.525,0.312,0.5,0.42,,0.08012820513,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,136.98,,two_identical,1_4,28,30,n,two_identical,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,6.4,3.2,6.6,3.8,seconds,0.497,0.246,0.5,0.06,,-0.01219512195,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,1,197.86,,two_identical,1_6,28,30,n,two_identical,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,n,1,50,7.4,3.2,5.9,3.2,seconds,0.559,0.149,0.5,2.09,,0.3959731544,,,,n,stimuli locations during test were swapped after 10s,
"Rose, S. A., Gottfried, A. W., Melloy-Carminar, P., & Bridger, W. H. (1982). Familiarity and novelty preferences in infant recognition memory: Implications for information processing. Developmental Psychology, 18(5), 704.",Rose et al. (1982),10.1037/0012-1649.18.5.704,recognition memory; information processing,JK/MZ,,,,2,105,,5_sec,2_3,36,5,y,single_object,dynamic,live,geometric shapes,,,n,NA,NA,,paired_comparison,,20,,y,1,,4.6,3.3,5.9,4.1,seconds,0.436,0.258,0.5,1.48,,-0.2480620155,,,,n,infants control familiarization time,
