"subject","problem","dataset_number","proplookatnovel","total_familiar_item_look_during_familiarization"
1,"faceproblem1",1,0.56,18479.5
1,"faceproblem1",2,0.64,17450.5
1,"faceproblem1",3,0.74,19103.8
1,"faceproblem1",4,0.38,17496.1
1,"faceproblem1",5,0.52,19015.9
1,"faceproblem1",6,0.28,17828.3
1,"faceproblem1",7,0.29,18408.49
1,"faceproblem1",8,0.53,17781.9
1,"faceproblem1",9,0.33,18284.1
1,"faceproblem1",10,0.87,17679.7
1,"faceproblem1",11,0.31,18250.9
1,"faceproblem1",12,0.65,18774.7
1,"faceproblem1",13,0.63,18321.1
1,"faceproblem1",14,0.57,17682.6
1,"faceproblem1",15,0.46,18652.6
1,"faceproblem1",16,0.37,17492.4
1,"faceproblem1",17,0.66,17199.3
1,"faceproblem1",18,0.66,16805.09
1,"faceproblem1",19,0.65,18774.7
1,"faceproblem1",20,0.45,18104.4
1,"faceproblem1",21,0.37,17492.4
1,"faceproblem1",22,0.45,19023.4
1,"faceproblem1",23,0.49,18829.3
1,"faceproblem1",24,0.52,16916.89
1,"faceproblem1",25,0.85,16003.5
1,"faceproblem1",26,0.38,17496.1
1,"faceproblem1",27,0.63,18321.1
1,"faceproblem1",28,0.55,17525.8
1,"faceproblem1",29,0.77,19247.7
1,"faceproblem1",30,0.63,18321.1
1,"faceproblem1",31,0.47,18657.7
1,"faceproblem1",32,0.63,17504.3
1,"faceproblem1",33,0.42,19067.8
1,"faceproblem1",34,0.38,17270.7
1,"faceproblem1",35,0.72,18446.2
1,"faceproblem1",36,0.46,18630.2
1,"faceproblem1",37,0.33,18038.7
1,"faceproblem1",38,0.74,19103.8
1,"faceproblem1",39,0.39,18828.4
1,"faceproblem1",40,0.53,17208.9
1,"faceproblem1",41,0.53,17208.9
1,"faceproblem1",42,0.24,18519.3
1,"faceproblem1",43,0.45,19023.4
1,"faceproblem1",44,0.33,18284.1
1,"faceproblem1",45,0.53,17781.9
1,"faceproblem1",46,0.28,17828.3
1,"faceproblem1",47,0.63,17504.3
1,"faceproblem1",48,0.66,17199.3
1,"faceproblem1",49,0.45,19023.4
1,"faceproblem1",50,0.58,16965.19
1,"faceproblem1",51,0.27,18426.5
1,"faceproblem1",52,0.66,18860
1,"faceproblem1",53,0.73,18776
1,"faceproblem1",54,0.45,18104.4
1,"faceproblem1",55,0.38,17270.7
1,"faceproblem1",56,0.72,18446.2
1,"faceproblem1",57,0.62,19108.3
1,"faceproblem1",58,0.66,18860
1,"faceproblem1",59,0.47,667.8
1,"faceproblem1",60,0.45,16580.19
1,"faceproblem1",61,0.21,19024.2
1,"faceproblem1",62,0.49,18737.4
1,"faceproblem1",63,0.46,18630.2
1,"faceproblem1",64,0.47,18657.7
1,"faceproblem1",65,0.26,17012.2
1,"faceproblem1",66,0.74,19103.8
1,"faceproblem1",67,0.58,16965.19
1,"faceproblem1",68,0.26,17012.2
1,"faceproblem1",69,0.81,17946.7
1,"faceproblem1",70,0.74,19103.8
1,"faceproblem1",71,0.66,18082.8
1,"faceproblem1",72,0.62,18000.7
1,"faceproblem1",73,0.55,18564.69
1,"faceproblem1",74,0.36,18086.8
1,"faceproblem1",75,0.21,19024.2
1,"faceproblem1",76,0.38,17496.1
1,"faceproblem1",77,0.24,18519.3
1,"faceproblem1",78,0.55,17525.8
1,"faceproblem1",79,0.66,17199.3
1,"faceproblem1",80,0.67,19162.7
1,"faceproblem1",81,0.16,18803.7
1,"faceproblem1",82,0.47,18379.5
1,"faceproblem1",83,0.59,17287.5
1,"faceproblem1",84,0.37,17492.4
1,"faceproblem1",85,0.53,17781.9
1,"faceproblem1",86,0.38,17496.1
1,"faceproblem1",87,0.53,18047
1,"faceproblem1",88,0.46,18630.2
1,"faceproblem1",89,0.42,19067.8
1,"faceproblem1",90,0.67,19162.7
1,"faceproblem1",91,0.74,19103.8
1,"faceproblem1",92,0.22,19097.6
1,"faceproblem1",93,0.29,18408.49
1,"faceproblem1",94,0.61,16615.9
1,"faceproblem1",95,0.62,18000.7
1,"faceproblem1",96,0.65,17997.69
1,"faceproblem1",97,0.46,18652.6
1,"faceproblem1",98,0.49,18746.79
1,"faceproblem1",99,0.47,18657.7
1,"faceproblem1",100,0.53,17781.9
3,"faceproblem1",1,0.53,18047
3,"faceproblem1",2,0.53,18047
3,"faceproblem1",3,0.66,18082.8
3,"faceproblem1",4,0.37,17492.4
3,"faceproblem1",5,0.77,19247.7
3,"faceproblem1",6,0.72,18446.2
3,"faceproblem1",7,0.47,18379.5
3,"faceproblem1",8,0.72,18446.2
3,"faceproblem1",9,0.63,17504.3
3,"faceproblem1",10,0.58,16965.19
3,"faceproblem1",11,0.52,19015.9
3,"faceproblem1",12,0.6,16911.5
3,"faceproblem1",13,0.33,18284.1
3,"faceproblem1",14,0.58,18562.3
3,"faceproblem1",15,0.73,18776
3,"faceproblem1",16,0.36,18086.8
3,"faceproblem1",17,0.87,17679.7
3,"faceproblem1",18,0.65,18845.2
3,"faceproblem1",19,0.79,18202.1
3,"faceproblem1",20,0.42,19067.8
3,"faceproblem1",21,0.45,16580.19
3,"faceproblem1",22,0.38,17496.1
3,"faceproblem1",23,0.65,18845.2
3,"faceproblem1",24,0.9,19111.9
3,"faceproblem1",25,0.47,18379.5
3,"faceproblem1",26,0.66,17199.3
3,"faceproblem1",27,0.45,19023.4
3,"faceproblem1",28,0.59,17287.5
3,"faceproblem1",29,0.33,18809.49
3,"faceproblem1",30,0.58,16965.19
3,"faceproblem1",31,0.22,19097.6
3,"faceproblem1",32,0.58,18562.3
3,"faceproblem1",33,0.49,18746.79
3,"faceproblem1",34,0.66,18860
3,"faceproblem1",35,0.42,19067.8
3,"faceproblem1",36,0.49,18737.4
3,"faceproblem1",37,0.63,17504.3
3,"faceproblem1",38,0.46,18630.2
3,"faceproblem1",39,0.6,16911.5
3,"faceproblem1",40,0.87,17679.7
3,"faceproblem1",41,0.47,18657.7
3,"faceproblem1",42,0.53,17208.9
3,"faceproblem1",43,0.24,18519.3
3,"faceproblem1",44,0.65,17997.69
3,"faceproblem1",45,0.55,18564.69
3,"faceproblem1",46,0.52,16916.89
3,"faceproblem1",47,0.45,19023.4
3,"faceproblem1",48,0.45,16580.19
3,"faceproblem1",49,0.6,16911.5
3,"faceproblem1",50,0.37,17492.4
3,"faceproblem1",51,0.47,18379.5
3,"faceproblem1",52,0.77,19247.7
3,"faceproblem1",53,0.52,19015.9
3,"faceproblem1",54,0.22,19097.6
3,"faceproblem1",55,0.47,18657.7
3,"faceproblem1",56,0.53,17208.9
3,"faceproblem1",57,0.26,17012.2
3,"faceproblem1",58,0.46,18630.2
3,"faceproblem1",59,0.87,17679.7
3,"faceproblem1",60,0.74,19103.8
3,"faceproblem1",61,0.72,18446.2
3,"faceproblem1",62,0.53,18047
3,"faceproblem1",63,0.34,18737.49
3,"faceproblem1",64,0.46,18652.6
3,"faceproblem1",65,0.66,18860
3,"faceproblem1",66,0.46,18630.2
3,"faceproblem1",67,0.47,667.8
3,"faceproblem1",68,0.66,17199.3
3,"faceproblem1",69,0.53,18047
3,"faceproblem1",70,0.33,18038.7
3,"faceproblem1",71,0.37,17492.4
3,"faceproblem1",72,0.37,17263.8
3,"faceproblem1",73,0.47,667.8
3,"faceproblem1",74,0.45,19023.4
3,"faceproblem1",75,0.24,18519.3
3,"faceproblem1",76,0.26,17012.2
3,"faceproblem1",77,0.47,667.8
3,"faceproblem1",78,0.66,17199.3
3,"faceproblem1",79,0.39,18828.4
3,"faceproblem1",80,0.49,18746.79
3,"faceproblem1",81,0.79,18202.1
3,"faceproblem1",82,0.45,17554.2
3,"faceproblem1",83,0.31,18250.9
3,"faceproblem1",84,0.53,17208.9
3,"faceproblem1",85,0.47,667.8
3,"faceproblem1",86,0.63,18321.1
3,"faceproblem1",87,0.66,17199.3
3,"faceproblem1",88,0.47,18657.7
3,"faceproblem1",89,0.49,18829.3
3,"faceproblem1",90,0.45,19023.4
3,"faceproblem1",91,0.65,18845.2
3,"faceproblem1",92,0.28,17828.3
3,"faceproblem1",93,0.87,17679.7
3,"faceproblem1",94,0.64,17450.5
3,"faceproblem1",95,0.87,17679.7
3,"faceproblem1",96,0.58,19480
3,"faceproblem1",97,0.38,17270.7
3,"faceproblem1",98,0.29,18408.49
3,"faceproblem1",99,0.77,19247.7
3,"faceproblem1",100,0.67,19162.7
4,"faceproblem1",1,0.36,18086.8
4,"faceproblem1",2,0.38,17496.1
4,"faceproblem1",3,0.35,15762.19
4,"faceproblem1",4,0.47,18657.7
4,"faceproblem1",5,0.87,17679.7
4,"faceproblem1",6,0.36,18086.8
4,"faceproblem1",7,0.65,17997.69
4,"faceproblem1",8,0.3,17029.6
4,"faceproblem1",9,0.52,19015.9
4,"faceproblem1",10,0.28,17828.3
4,"faceproblem1",11,0.33,18038.7
4,"faceproblem1",12,0.6,16911.5
4,"faceproblem1",13,0.39,18828.4
4,"faceproblem1",14,0.63,17504.3
4,"faceproblem1",15,0.27,18426.5
4,"faceproblem1",16,0.47,667.8
4,"faceproblem1",17,0.55,17525.8
4,"faceproblem1",18,0.45,19023.4
4,"faceproblem1",19,0.81,17946.7
4,"faceproblem1",20,0.16,18803.7
4,"faceproblem1",21,0.64,17450.5
4,"faceproblem1",22,0.58,16965.19
4,"faceproblem1",23,0.58,18562.3
4,"faceproblem1",24,0.58,18562.3
4,"faceproblem1",25,0.85,16003.5
4,"faceproblem1",26,0.47,667.8
4,"faceproblem1",27,0.57,17682.6
4,"faceproblem1",28,0.73,18776
4,"faceproblem1",29,0.45,17554.2
4,"faceproblem1",30,0.57,17682.6
4,"faceproblem1",31,0.65,17997.69
4,"faceproblem1",32,0.37,17263.8
4,"faceproblem1",33,0.24,18519.3
4,"faceproblem1",34,0.22,19097.6
4,"faceproblem1",35,0.72,18446.2
4,"faceproblem1",36,0.37,17492.4
4,"faceproblem1",37,0.52,19015.9
4,"faceproblem1",38,0.59,17287.5
4,"faceproblem1",39,0.37,17263.8
4,"faceproblem1",40,0.47,18379.5
4,"faceproblem1",41,0.63,18321.1
4,"faceproblem1",42,0.47,667.8
4,"faceproblem1",43,0.65,18845.2
4,"faceproblem1",44,0.33,18284.1
4,"faceproblem1",45,0.49,18829.3
4,"faceproblem1",46,0.66,16805.09
4,"faceproblem1",47,0.66,17199.3
4,"faceproblem1",48,0.22,19097.6
4,"faceproblem1",49,0.53,17781.9
4,"faceproblem1",50,0.65,18774.7
4,"faceproblem1",51,0.45,17554.2
4,"faceproblem1",52,0.53,18047
4,"faceproblem1",53,0.47,18657.7
4,"faceproblem1",54,0.46,18630.2
4,"faceproblem1",55,0.27,18426.5
4,"faceproblem1",56,0.21,19024.2
4,"faceproblem1",57,0.34,18737.49
4,"faceproblem1",58,0.49,18737.4
4,"faceproblem1",59,0.49,18746.79
4,"faceproblem1",60,0.31,18250.9
4,"faceproblem1",61,0.72,18446.2
4,"faceproblem1",62,0.24,18519.3
