effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.058903387068931674,0.0603972661637316,-0.975265782879143,40.707798642488065,0.3351886033810919
fixed,NA,X_a,0.26832965864998776,0.02298546653487698,11.673883505598548,1255.7376814307443,5.747289558299576e-30
fixed,NA,X_c,0.17690683667892138,0.09782762664231956,1.8083525354829848,20.010998290515598,0.08560521802362674
fixed,NA,X_f,0.20472287920710458,0.11981339322789411,1.7086810889138764,20.010671227371763,0.10297599840402408
fixed,NA,X_a:X_c,0.335124577599192,0.018294503923820163,18.318320026313838,20712.8261927971,2.2860303383762516e-74
fixed,NA,X_a:X_f,0.16622186561585797,0.0223524902036986,7.436391386421623,20728.67569697789,1.0749547738242724e-13
fixed,NA,X_c:X_f,0.5591515026149156,0.2396270108676931,2.333424352247351,20.010746391743186,0.030170715515364564
fixed,NA,X_a:X_c:X_f,0.029576708628130933,0.044709795848691426,0.6615263627735082,20723.73386845052,0.5082821686118919
ran_pars,subj_id,sd__(Intercept),0.2091459678697066,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.22099569629858196,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.23928644796741616,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36919701193344345,NA,NA,NA,NA
fixed,NA,(Intercept),-0.09932504373748494,0.057548716450770386,-1.725929783724226,45.2793716572935,0.09117899975839312
fixed,NA,X_a,0.3860752273286164,0.021959389540436424,17.581327869688288,1248.8291332583988,5.38516917987398e-62
fixed,NA,X_c,-0.008892429540728063,0.08905216145628048,-0.099856414435193,20.004795141543372,0.9214522554358988
fixed,NA,X_f,0.1669370477723655,0.1090661474838956,1.530603689811405,20.004772703819697,0.1415281366064282
fixed,NA,X_a:X_c,0.2945124392510549,0.01794364886286563,16.413185606888923,20574.17996975488,3.7133267557502337e-60
fixed,NA,X_a:X_f,0.3779032842033337,0.021996791957431996,17.179927188230398,20575.302951983125,1.0786984060382418e-65
fixed,NA,X_c:X_f,-0.22124271644924176,0.21813199889515336,-1.0142607117242968,20.004664190908873,0.3225694122536442
fixed,NA,X_a:X_c:X_f,0.28171930856476374,0.04396738897909141,6.407460508940722,20563.974531612257,1.5117171844465053e-10
ran_pars,subj_id,sd__(Intercept),0.20493171608017666,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.22772428693489116,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.21776006735333805,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3707477171340229,NA,NA,NA,NA
fixed,NA,(Intercept),-0.015784295953799047,0.06570732686553828,-0.2402212463474524,32.8918637742743,0.8116496556344991
fixed,NA,X_a,0.2346100709908434,0.024007394479149836,9.772408713265396,1238.2452214650634,8.847452604114741e-22
fixed,NA,X_c,0.3680919263336058,0.11459833878102296,3.2120179947543916,20.001100738469535,0.004374301874493793
fixed,NA,X_f,0.39178157852501305,0.14035446231702384,2.791372444148455,20.00152098050997,0.011269428678706265
fixed,NA,X_a:X_c,0.5245465397508102,0.01808382960230564,29.006385886534343,20388.588175157758,2.6036421862005543e-181
fixed,NA,X_a:X_f,0.23151345949683333,0.02221727755420536,10.420424326607547,20381.381505514342,2.3168314900934177e-25
fixed,NA,X_c:X_f,0.15642112304819036,0.280709233797616,0.5572354030967357,20.001608394309716,0.5835493067172663
fixed,NA,X_a:X_c:X_f,0.42795530525183095,0.04450463186506433,9.615972255413068,20417.787023664434,7.616218136400917e-22
ran_pars,subj_id,sd__(Intercept),0.2208633109294139,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.19961157810752575,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2804223415863134,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36622211273567434,NA,NA,NA,NA
fixed,NA,(Intercept),0.109844136186017,0.05493640101118788,1.9994781995938737,48.11386770020879,0.051220692161639214
fixed,NA,X_a,0.21557342894512355,0.022824935610761057,9.444645655144331,1249.130941871564,1.6882614438990313e-20
fixed,NA,X_c,0.3316554040624905,0.08243714733039938,4.023130527955446,20.00898295479529,6.659835666622879e-4
fixed,NA,X_f,0.24967319488440948,0.10096403800362405,2.472892327022891,20.00863812239463,0.022492185850439616
fixed,NA,X_a:X_c,0.3282609386335493,0.01781253250801237,18.428650641669968,20355.227352389084,3.167519289998687e-75
