effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.015604083898112516,0.07378871883815474,0.21146977673291625,13.829157986724999,0.8356054002690205
fixed,NA,X_a,0.2277736564117364,0.02425203059276356,9.39194165785444,1380.6303508051153,2.347100688437709e-20
fixed,NA,X_c,0.1647365191899839,0.12797213490136947,1.287284292920091,7.997635352540662,0.23399722643185383
fixed,NA,X_f,0.10536500034100035,0.15675835339536234,0.672149190514,8.002753470468402,0.5204181343591714
fixed,NA,X_a:X_c,0.08671936214321144,0.028152118032404486,3.0803850013485006,8975.450969786487,0.002073584227856463
fixed,NA,X_a:X_f,-0.055238815868984256,0.03434588690068256,-1.6083094907031352,8943.913647439904,0.10780270866703763
fixed,NA,X_c:X_f,0.29030963577300256,0.3135161675662162,0.9259797924510151,8.002696322919292,0.3815325760033469
fixed,NA,X_a:X_c:X_f,-0.10676236100779707,0.0685975140978781,-1.5563590373765381,8925.197935412194,0.11965819609458309
ran_pars,subj_id,sd__(Intercept),0.19875858595337284,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.22975457287993342,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.22120552179249584,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.365289265864743,NA,NA,NA,NA
fixed,NA,(Intercept),0.14122494191350937,0.0880739089224499,1.6034821622128703,11.224333752779563,0.1365749496612297
fixed,NA,X_a,0.3819922929182668,0.024446862855276204,15.62541153765355,1366.445733806047,9.187696341649473e-51
fixed,NA,X_c,-0.03657980822403042,0.16156804305449898,-0.2264049717535514,8.003933096158635,0.8265614042387384
fixed,NA,X_f,0.2504335918461313,0.19790054244195884,1.265451770651814,8.007306295811636,0.24128858789615865
fixed,NA,X_a:X_c,0.22228794003923502,0.028023062933506895,7.93232133713148,8989.031496051515,2.408333036333696e-15
fixed,NA,X_a:X_f,0.46904750191284594,0.034323736721636966,13.665397381316243,8997.869959198153,4.2932943201503255e-42
fixed,NA,X_c:X_f,0.15802457306623893,0.39579804365426313,0.3992555688432768,8.007061074929458,0.7001422385448834
fixed,NA,X_a:X_c:X_f,1.3742537057838937,0.06849102881557592,20.064725695452935,8959.006326365243,1.2396055450079683e-87
ran_pars,subj_id,sd__(Intercept),0.2006048915219892,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.21903423619160312,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2794937757088298,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3651735472719975,NA,NA,NA,NA
fixed,NA,(Intercept),-0.10104746775847802,0.08086338285828353,-1.249607228720173,11.293261214246137,0.23672051935263672
fixed,NA,X_a,0.2025997436632426,0.024582632440457785,8.24158047979461,1359.1324321894706,3.9587765752604076e-16
fixed,NA,X_c,0.2531193013144543,0.14812208545824296,1.7088559111990838,8.00813000701396,0.12581547211580926
fixed,NA,X_f,0.1749064118429491,0.18143376640240277,0.9640234853253467,8.01201758031194,0.36322492040825055
fixed,NA,X_a:X_c,0.1164399341241797,0.026977574436063974,4.316175066077152,8908.328017537331,1.604720946148232e-5
fixed,NA,X_a:X_f,0.10974873349900971,0.03291386498802717,3.3344225462106074,8881.031699211544,8.582672370135403e-4
fixed,NA,X_c:X_f,-0.6454182004925859,0.36286770564802096,-1.7786597992785749,8.012024376583158,0.11312534461637
fixed,NA,X_a:X_c:X_f,-0.0399580076631512,0.06577402122229217,-0.607504405548016,8871.178330028608,0.5435317695343735
ran_pars,subj_id,sd__(Intercept),0.21232472721831458,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.2018525989862982,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2561829955738343,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.35581591197121465,NA,NA,NA,NA
fixed,NA,(Intercept),-0.038922585520739315,0.06520636668559822,-0.596913882787092,13.693511371938616,0.5603053174886392
fixed,NA,X_a,0.30447830929250735,0.024410156461875204,12.473427188721802,1365.459589985372,6.783627240693032e-34
fixed,NA,X_c,0.1867254493031186,0.11343196312091547,1.6461449151159822,8.008688215856546,0.1383102615798335
fixed,NA,X_f,0.08278262384161272,0.13895565720046252,0.5957484963867824,8.015673676703605,0.5677796166723521
fixed,NA,X_a:X_c,0.43785213990570276,0.028199176765402206,15.527124906813132,8961.67255499876,1.1330953096190104e-53
fixed,NA,X_a:X_f,0.15600586598738078,0.03431643423825721,4.546097793967759,8930.709773011304,5.536882744535917e-6
fixed,NA,X_c:X_f,-0.09655844015142258,0.2779108696615671,-0.34744391347128323,8.015624976728057,0.7372046571471864
fixed,NA,X_a:X_c:X_f,-0.07056193987791767,0.06859633606175837,-1.0286546473034601,8918.27735121779,0.303669885850547
ran_pars,subj_id,sd__(Intercept),0.19838858270692283,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.20044057967187007,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.1959700085578929,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3618444893084218,NA,NA,NA,NA
fixed,NA,(Intercept),0.025216203227238103,0.06362339066467956,0.3963354194707646,15.17727850228307,0.6973740829232244
fixed,NA,X_a,0.3760538199976003,0.02455099383548575,15.317254467069924,1375.3007822047193,5.121512477859464e-49
fixed,NA,X_c,0.4102456121077597,0.10759394529171756,3.812906116561374,8.017896387135222,0.005119976253085836
fixed,NA,X_f,0.2141032178191026,0.13180305011469012,1.6244177781378955,8.024652231567863,0.142825358558114
fixed,NA,X_a:X_c,0.48504431513173524,0.027801062227706043,17.44697059266853,8966.886527750485,4.6161697032523626e-67
fixed,NA,X_a:X_f,0.033786659370144856,0.03386186708821261,0.9977789849014578,8904.120577911577,0.3184136567031308
fixed,NA,X_c:X_f,0.44399266207252497,0.2636096001130756,1.684281080363059,8.025077906275152,0.13050314834356258
fixed,NA,X_a:X_c:X_f,0.7551406963550952,0.0678296852180064,11.132894011346993,8928.988120945125,1.3379501662126451e-28
ran_pars,subj_id,sd__(Intercept),0.20453367195848504,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.21176695336118945,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.18582989335151745,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36159303040213747,NA,NA,NA,NA
fixed,NA,(Intercept),-0.03614051446428466,0.07902619415089199,-0.45732323127288965,12.176852069843045,0.6554907905080467
fixed,NA,X_a,0.3751531802615956,0.024191477720855847,15.507658713141375,1356.303978840719,4.677243725822726e-50
fixed,NA,X_c,0.48767784902063727,0.14188494639322166,3.437135943013158,8.004529751174084,0.008853508863597408
fixed,NA,X_f,0.3800600246429451,0.17379280450862486,2.186857077987275,8.008196769518861,0.0601813329459879
fixed,NA,X_a:X_c,0.40691110426125626,0.027308333944671095,14.900619901810606,9016.734889273564,1.2683273274119933e-49
fixed,NA,X_a:X_f,0.2545149535787817,0.03325635926803139,7.653121363270854,8999.188590694781,2.1637888023645347e-14
fixed,NA,X_c:X_f,-0.10160191362128536,0.34758285211132217,-0.29230991403668205,8.007941597841114,0.7774799632950811
fixed,NA,X_a:X_c:X_f,0.22380564000104541,0.06637727259538381,3.3717209407698667,8963.453100297133,7.501595694028348e-4
ran_pars,subj_id,sd__(Intercept),0.20315783439104415,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.2172571819485131,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2453611560044125,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36295280083294224,NA,NA,NA,NA
fixed,NA,(Intercept),-0.04014925799760504,0.08608582305774251,-0.4663864103462741,10.9292061550724,0.6500970881939778
fixed,NA,X_a,0.1933478765140242,0.024440436480562874,7.910982959236058,1397.3209933099001,5.15403111700716e-15
fixed,NA,X_c,0.32976116428290037,0.158950284241109,2.0746182736149827,7.989255390929907,0.07175933835072909
fixed,NA,X_f,0.3373891251195515,0.19469657685436484,1.7328970574142257,7.99302795878833,0.12137973030769482
fixed,NA,X_a:X_c,0.1318212611754429,0.02828160068737967,4.661025471385945,8933.92450109521,3.1919504855115867e-6
fixed,NA,X_a:X_f,0.16421792900727636,0.03473465690152226,4.727783247517249,8917.051596020312,2.304642681103582e-6
fixed,NA,X_c:X_f,1.0387460898604413,0.3893948319601011,2.667590847653764,7.993167346473102,0.028489816056304594
fixed,NA,X_a:X_c:X_f,0.7720888292798521,0.06943299162345011,11.119913044609314,8903.770160685195,1.5464119505052778e-28
ran_pars,subj_id,sd__(Intercept),0.19796646394623177,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.20628871244651348,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.27495642864135517,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3580448280248329,NA,NA,NA,NA
fixed,NA,(Intercept),-0.07117482803076194,0.060080619413056875,-1.1846553635113497,15.694277457170912,0.2537841165293627
fixed,NA,X_a,0.2815308207898475,0.025080809196392453,11.224949665114554,1366.7809751345435,4.96169012370303e-28
fixed,NA,X_c,0.16796509259116,0.10061910122940516,1.6693161689867437,8.010857144740694,0.13355450632030166
fixed,NA,X_f,0.3909536323869447,0.12326390003063734,3.171679885917717,8.01891265580025,0.013121372524898213
fixed,NA,X_a:X_c,0.2541760713292227,0.02724553875803213,9.329089565325269,8985.949975307443,1.3228863565927544e-20
fixed,NA,X_a:X_f,0.04925734196788226,0.03323362059565946,1.4821539478703565,8968.456401435935,0.13833447147315375
fixed,NA,X_c:X_f,0.8526111853178112,0.24652557896801697,3.4585100210977493,8.018625137355155,0.008555920887111435
fixed,NA,X_a:X_c:X_f,0.6376764069756111,0.0663583783630284,9.609583939605324,8946.620710227524,9.276511798536726e-22
ran_pars,subj_id,sd__(Intercept),0.21649877291783529,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.2041245880516639,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.17371534735163202,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3614067330747877,NA,NA,NA,NA
fixed,NA,(Intercept),0.048307433617342854,0.07909879788663744,0.6107227278798338,10.349046367138124,0.5545583413781587
fixed,NA,X_a,0.4221997458493276,0.02432583501180307,17.356022748837738,1355.0321305907275,4.353146868193073e-61
fixed,NA,X_c,0.5006280452425289,0.14814159139701358,3.3793888706167983,7.991317811409399,0.009665786165929004
fixed,NA,X_f,0.6332438819789958,0.18145819973564128,3.489750713395933,7.995268758592124,0.008209025146356443
fixed,NA,X_a:X_c,0.5004955170640375,0.026865539615091964,18.629646909562894,8945.51552070402,5.012243408725799e-76
fixed,NA,X_a:X_f,0.6745212210439487,0.03293443881332206,20.480726113696623,8905.975724713571,3.934247203166107e-91
fixed,NA,X_c:X_f,0.9290144943758432,0.3629161799909921,2.5598596744815896,7.9952557926645555,0.03367031544900978
fixed,NA,X_a:X_c:X_f,0.6083850647594728,0.06584991666286152,9.238964839914429,8895.48883253376,3.065074405422142e-20
ran_pars,subj_id,sd__(Intercept),0.2116429393804062,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.17147126768536652,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2562082956093718,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36061660176535754,NA,NA,NA,NA
fixed,NA,(Intercept),0.08459930605209508,0.09015117478854905,0.9384160134410232,10.003260556859821,0.3701357102741827
fixed,NA,X_a,0.3510843305493265,0.024265152826289292,14.468663480617174,1369.6153648701834,2.9406051462107426e-44
fixed,NA,X_c,0.5958584401346425,0.17042028930957479,3.4964055192527197,8.008035585798593,0.008108950430398748
fixed,NA,X_f,0.38040212358823244,0.2087398355608007,1.8223743568938033,8.01086160636726,0.10581596799428276
fixed,NA,X_a:X_c,0.22576158768983207,0.02786282954730026,8.102608075270195,8993.405899709578,6.082478854005568e-16
fixed,NA,X_a:X_f,0.27343020895498354,0.03409543000116303,8.019555962357904,8962.366366559261,1.1946520137727222e-15
fixed,NA,X_c:X_f,0.6242292257336041,0.41748073167114685,1.495228829447666,8.01094431067204,0.1731659602898047
fixed,NA,X_a:X_c:X_f,0.03363049446947675,0.06823352172008325,0.4928734970978092,8969.415733583397,0.6221140401205901
ran_pars,subj_id,sd__(Intercept),0.2008264184866619,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.18275083515944335,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2948445172065693,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3623901863782575,NA,NA,NA,NA
fixed,NA,(Intercept),-0.08052426420517822,0.0706857778831069,-1.1391862212840216,13.45217979454981,0.27450549108037553
fixed,NA,X_a,0.3695907832307806,0.02470637083726871,14.959331164626802,1362.8836107953064,5.818468188239224e-47
fixed,NA,X_c,0.29111676655520574,0.12364853412163058,2.354389145194718,8.028781180980454,0.04625311956999947
fixed,NA,X_f,0.7258928768411445,0.15146519233807482,4.792473212069278,8.03454462719043,0.0013522702167568625
fixed,NA,X_a:X_c,0.5642332433390838,0.027930447993292255,20.201367463729525,8919.484194291284,9.034628852667588e-89
fixed,NA,X_a:X_f,0.37540614764236235,0.03421009674592054,10.973548260635319,8878.015169700313,7.728926866373438e-28
fixed,NA,X_c:X_f,0.32609336157380364,0.30293013275296843,1.0764639311722886,8.034518509965483,0.31297778861684855
