effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.023452423160808304,0.06098517201926356,0.38455943279786636,16.29349261847946,0.7055368545110102
fixed,NA,X_a,0.3482000937454213,0.025955815179629405,13.415109151289345,1299.4494680803768,1.5875384340265665e-38
fixed,NA,X_c,0.5822988034760743,0.10101810167052086,5.7643015840397736,8.00475656996511,4.2109572942973647e-4
fixed,NA,X_f,0.5154194031292288,0.12372688444758413,4.165783414255307,8.006165343341582,0.0031348985690466645
fixed,NA,X_a:X_c,0.2370975611141171,0.027520477542801527,8.615314205408263,8537.258770898625,8.223800269452018e-18
fixed,NA,X_a:X_f,0.29413397492036875,0.03369391443790507,8.729587518316754,8542.719700875727,3.0398700111205424e-18
fixed,NA,X_c:X_f,0.1677973361716145,0.2474544032535934,0.6780939597977342,8.0062474934659,0.5168269281530905
fixed,NA,X_a:X_c:X_f,0.04914525425767143,0.06741198190925513,0.7290284733628961,8541.877927034075,0.4660042332054348
ran_pars,subj_id,sd__(Intercept),0.22170978718931494,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.21256271422178552,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.17443147171917026,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3616598890760797,NA,NA,NA,NA
fixed,NA,(Intercept),0.039707381516525087,0.08974952110571531,0.4424244388976076,11.372685748179002,0.66647858048836
fixed,NA,X_a,0.307106288884213,0.026247986211652672,11.700184783999717,1311.8119905373308,3.774113107893552e-30
fixed,NA,X_c,0.4119908296725952,0.16408751731337468,2.5107993369524526,8.006295028333026,0.03630379695459377
fixed,NA,X_f,0.32327360577818964,0.20096580665024247,1.6086000457819654,8.00637129537242,0.14634035414799745
fixed,NA,X_a:X_c,0.2519784399532792,0.028592872691683993,8.812631129105299,8640.13355740578,1.4604761995768469e-18
fixed,NA,X_a:X_f,0.4205905742202629,0.0347501548394197,12.103271946954193,8616.106991765299,1.894223578276251e-33
fixed,NA,X_c:X_f,0.1952127445976183,0.4019304542731923,0.48568786595337743,8.006278667057618,0.6402010932853404
fixed,NA,X_a:X_c:X_f,-0.4223850108003226,0.06947600436021475,-6.079581212102638,8610.109824788404,1.2562421563238808e-9
ran_pars,subj_id,sd__(Intercept),0.22512832152086357,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.22664861206753936,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2838425700780492,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.38287174769817073,NA,NA,NA,NA
fixed,NA,(Intercept),-0.04147964089912042,0.06495543791862268,-0.6385861173176424,14.029780491820132,0.5333787951353111
fixed,NA,X_a,0.4168832817013017,0.025709729753008205,16.215000535060998,1304.3768274054185,5.226536997132996e-54
fixed,NA,X_c,0.49076346282711425,0.1121615450293765,4.375505550485928,7.98629910919012,0.0023726948051792326
fixed,NA,X_f,0.08551379537392975,0.13737459766835416,0.6224862298077459,7.987531927033686,0.5509748727867798
fixed,NA,X_a:X_c,0.3976820551038447,0.026991198840043043,14.73376775372644,8677.364663954502,1.50599082792345e-48
