effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.013420533423538224,0.03349682262841825,-0.40065093852073075,52.58826424468338,0.6903002670912705
fixed,NA,X_a,0.22221743515763362,0.024157579370201063,9.198663150487006,1247.7759533438152,1.4776948990314087e-19
fixed,NA,X_c,0.18823747268419994,0.028931417054433625,6.506334353759326,20.00570581370635,2.4191485118647657e-6
fixed,NA,X_f,0.21659346792015258,0.03543593393132468,6.1122551007097385,20.010963912332024,5.65277634553106e-6
fixed,NA,X_a:X_c,0.2503003700541628,0.02038843208682501,12.276587478048725,14113.116670170737,1.8137632194303863e-34
fixed,NA,X_a:X_f,0.23501626569054399,0.025016922030867902,9.394291807783624,14139.390690548504,6.6275942823825525e-21
fixed,NA,X_c:X_f,0.19292342571081603,0.0708688468578064,2.722259981143816,20.007547033858284,0.013119287354654507
fixed,NA,X_a:X_c:X_f,0.2379162950603698,0.04993040587763882,4.7649581628360025,14109.296973779172,1.907750930401868e-6
ran_pars,subj_id,sd__(Intercept),0.22106671369569536,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.18703401995804964,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.0694113804123526,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.35369160455422494,NA,NA,NA,NA
fixed,NA,(Intercept),-0.004136556325625248,0.03189972471066178,-0.12967373114172034,48.773133449003275,0.8973578849366708
fixed,NA,X_a,0.2510587278286084,0.023747263706811857,10.572111841104148,1241.0745253563618,4.503724164772708e-25
fixed,NA,X_c,0.2500363729077645,0.02343395151895162,10.669834010092316,19.991507203499715,1.0568552004662361e-9
fixed,NA,X_f,0.1942537566578553,0.02870420213156446,6.767432718300327,20.001560435208894,1.394446588007171e-6
fixed,NA,X_a:X_c,0.1346038482107211,0.02057266042613305,6.542850823500516,14261.084844350808,6.241609003057825e-11
fixed,NA,X_a:X_f,0.23429251486504835,0.02520559894224027,9.295256795997583,14241.033266131073,1.6783026380530777e-20
fixed,NA,X_c:X_f,0.06962616917173997,0.05740798731363339,1.2128306953413255,20.00098692848382,0.23932545905220085
fixed,NA,X_a:X_c:X_f,0.20530035011358252,0.05045872917813712,4.068678570734508,14253.801071243923,4.753516301292776e-5
ran_pars,subj_id,sd__(Intercept),0.21589689314693494,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.1837226690994599,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.05552577648746614,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3612080392698999,NA,NA,NA,NA
fixed,NA,(Intercept),0.005364197019901979,0.03482936302352035,0.1540136411992239,47.80719896163519,0.8782473027053488
fixed,NA,X_a,0.1876187706706416,0.022936952673073663,8.179760116560407,1238.3113068000355,6.985837201028765e-16
fixed,NA,X_c,0.18357703521622673,0.024100001857076458,7.617303778851087,20.0069016266517,2.459275863163494e-7
fixed,NA,X_f,0.16534057960411816,0.02951145785884582,5.602589353428321,19.99366338008726,1.7510509909504584e-5
fixed,NA,X_a:X_c,0.1986556350084548,0.02063428449124497,9.627454496556128,14286.20311808442,7.134326678525086e-22
fixed,NA,X_a:X_f,0.20950683920656063,0.025118209189959148,8.340835034143664,14264.79594353397,8.047016229434072e-17
fixed,NA,X_c:X_f,0.16385964947496617,0.0590241204120871,2.77614724846303,19.99529650768273,0.011656899156568245
fixed,NA,X_a:X_c:X_f,0.2625744010606042,0.050330261187151774,5.217028381478651,14286.331586428943,1.8435852660711724e-7
ran_pars,subj_id,sd__(Intercept),0.20572740781581372,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.2034464427771252,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.05720685329341193,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.36135211649388604,NA,NA,NA,NA
