"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed","NA","(Intercept)",0.0150407826394225,0.0619664019425708,0.242724801955776,31.2171864781558,0.809806342573152
"fixed","NA","X_a",0.244586514884451,0.0233550635782875,10.4725261853638,1210.79277422037,1.25599975095238e-24
"fixed","NA","X_c",0.48941254352463,0.110100316896642,4.44515108874821,20.2021432318368,0.00024331961914396
"fixed","NA","X_f",0.368629444183496,0.134732152997023,2.73601687484086,20.1347469087911,0.0126819110791677
"fixed","NA","X_a:X_c",0.360234105594773,0.0337178546295717,10.6837789519039,1274.61933472721,1.41209034864718e-25
"fixed","NA","X_a:X_f",0.472414332733084,0.0364087302843968,12.9753036989467,1245.89543396539,3.33474391768099e-36
"fixed","NA","X_c:X_f",0.365649346805753,0.269128526432353,1.35864210179764,20.0345659897406,0.189361723671686
"fixed","NA","X_a:X_c:X_f",0.384147117228066,0.0549561604552892,6.99006469967271,1233.34453351178,4.48838326556586e-12
"ran_pars","subj_id","sd__(Intercept)",0.210917041983248,NA,NA,NA,NA
"ran_pars","subj_id","cor__(Intercept).X_c",0.235135960456487,NA,NA,NA,NA
"ran_pars","subj_id","cor__(Intercept).X_f",0.144301132928507,NA,NA,NA,NA
"ran_pars","subj_id","cor__(Intercept).X_c:X_f",0.20726065283879,NA,NA,NA,NA
"ran_pars","subj_id","sd__X_c",0.280196727979734,NA,NA,NA,NA
"ran_pars","subj_id","cor__X_c.X_f",-0.0497825128410638,NA,NA,NA,NA
"ran_pars","subj_id","cor__X_c.X_c:X_f",0.234602449816105,NA,NA,NA,NA
"ran_pars","subj_id","sd__X_f",0.279890632787152,NA,NA,NA,NA
"ran_pars","subj_id","cor__X_f.X_c:X_f",0.0988700173367804,NA,NA,NA,NA
"ran_pars","subj_id","sd__X_c:X_f",0.285714260779372,NA,NA,NA,NA
"ran_pars","lab_id","sd__(Intercept)",0.177751505293905,NA,NA,NA,NA
"ran_pars","item_id","sd__(Intercept)",0.268683399299407,NA,NA,NA,NA
