effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.039134602230497854,0.037138445772731676,1.0537490575125743,45.95178564922201,0.29750724192075667
fixed,NA,X_a,0.42701507603085853,0.02422723073005308,17.625418306730385,1172.3546979884227,7.3351569804849885e-62
fixed,NA,X_c,0.3988122963402835,0.02699090548399268,14.775802782044659,9.697703353542897,5.701137316776797e-8
fixed,NA,X_f,0.345629385833504,0.032514912933094685,10.629872715473635,9.077582209070464,2.0045155550384115e-6
fixed,NA,X_a:X_c,0.4067599961732718,0.0324317206644408,12.542041798579524,1277.8257599975,4.097545281728577e-34
fixed,NA,X_a:X_f,0.45060483891795594,0.03414169955339563,13.198078736919237,1277.9607210152071,2.2237033601493994e-37
fixed,NA,X_c:X_f,0.4434709201376419,0.06355617822044503,6.977620941892699,8.282681300566656,9.742437093213238e-5
fixed,NA,X_a:X_c:X_f,0.42875491969461,0.049656960543092495,8.634336757734797,1277.9767751930303,1.7305624904812506e-17
ran_pars,subj_id,sd__(Intercept),0.23647301295783346,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.2999834895293512,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_f,0.2079147011738783,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c:X_f,0.20401304924578964,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.29237380318097256,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_f,0.18505015393266677,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_c:X_f,0.26345552639628583,NA,NA,NA,NA
ran_pars,subj_id,sd__X_f,0.2878290877472299,NA,NA,NA,NA
ran_pars,subj_id,cor__X_f.X_c:X_f,0.17371139950565842,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c:X_f,0.299105779640687,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.2163398289981507,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.0437418205825487,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.30172610647546244,NA,NA,NA,NA
fixed,NA,(Intercept),-0.00345726447956583,0.031460799162366306,-0.10989118431872008,46.30591828398244,0.9129705524571925
fixed,NA,X_a,0.35046834141843525,0.02279119324912096,15.377358157057115,1147.1253049292966,1.169776490293737e-48
fixed,NA,X_c,0.36302369568157994,0.02876329047545328,12.621076715523419,9.470729345126141,3.084531105445091e-7
fixed,NA,X_f,0.4152772905155297,0.034901568959162195,11.89852785705535,9.125114495142197,7.318085813698804e-7
fixed,NA,X_a:X_c,0.35355250981535424,0.03275767481314776,10.792967200268162,1277.9736668008381,4.744320520857184e-26
fixed,NA,X_a:X_f,0.43330814590648675,0.03658563633352813,11.843668426490936,1277.9757623255564,8.846172136429305e-31
fixed,NA,X_c:X_f,0.33587690002406245,0.06800947701901033,4.938677883527564,8.223137291564937,0.0010487328222484077
fixed,NA,X_a:X_c:X_f,0.38619604788099365,0.049235015697507156,7.84393063371253,1277.9929750807064,9.160613186538798e-15
ran_pars,subj_id,sd__(Intercept),0.21751228886630175,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.2573871016199471,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_f,0.2804664376577626,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c:X_f,0.21484134992447357,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.2926259511941961,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_f,0.28355007006842897,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_c:X_f,0.10168316945242321,NA,NA,NA,NA
ran_pars,subj_id,sd__X_f,0.31494916732389416,NA,NA,NA,NA
ran_pars,subj_id,cor__X_f.X_c:X_f,0.20374231165302303,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c:X_f,0.2839278785873287,NA,NA,NA,NA
ran_pars,lab_id,sd__(Intercept),0.17466495457240597,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.04701477199252509,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3007961922007773,NA,NA,NA,NA
fixed,NA,(Intercept),0.025701079092700824,0.03575652026724822,0.7187802084936704,46.18607567004523,0.4758972820771957
fixed,NA,X_a,0.43566552290476646,0.022684379801718932,19.205529386867056,1167.9719044644462,1.1762644148557994e-71
fixed,NA,X_c,0.3633359467630258,0.034074803297611506,10.662891978850954,9.21811333329006,1.7245449167480636e-6
fixed,NA,X_f,0.32918165347737527,0.040990533935600953,8.03067493569474,8.57977471108048,2.841886988464192e-5
fixed,NA,X_a:X_c,0.3610283724518516,0.034860384986214535,10.35640807164406,1278.0059173364368,3.43455948400775e-24
fixed,NA,X_a:X_f,0.4282814878047864,0.033101404547195366,12.938468734586493,1277.9307183417407,4.5117809263084875e-36
fixed,NA,X_c:X_f,0.4191870043845808,0.08096977196288253,5.17708021428961,8.164308105344995,7.930915076540964e-4
fixed,NA,X_a:X_c:X_f,0.3983285255230546,0.04931154052337571,8.077795203624401,1277.991355538125,1.5128560002988621e-15
ran_pars,subj_id,sd__(Intercept),0.21659084198606254,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.2526254197736449,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_f,0.25696975848860526,NA,NA,NA,NA
